Rank,Country/Dependency,Population,Pop Percent,Date,Source (official or from the United Nations,Notes
1.,China,"1,412,600,000",17.7%,31 Dec 2021,Official estimate[4],"The population figure refers to mainland China, excluding its special administrative regions of Hong Kong and Macau, the former of which returned to Chinese sovereignty in 1997 and the latter in 1999."
2.,India,"1,375,586,000",17.2%,1 Mar 2022,Official projection[5],The figure includes the population of the Indian union territories of Jammu and Kashmir and Ladakh.
3., United States,"334,200,979",4.18%,24 Dec 2022,National Population clock[6],"The figure includes the 50 states and the District of Columbia, but excludes the territories of the United States."
4.,Indonesia,"275,773,800",3.45%,1 Jul 2022,Official estimate[7],-
5.,Pakistan,"235,825,000",2.95%,1 Jul 2022,UN projection[3],The figure includes the population of Pakistan-administered Azad Kashmir and Gilgit-Baltistan.
6.,Nigeria,"218,541,000",2.73%,1 Jul 2022,UN projection[3],-
7.,Brazil,"215,565,116",2.69%,26 Dec 2022,National population clock[8],-
8.,Bangladesh,"165,158,616",2.06%,15 Jun 2022,2022 preliminary census result[9],-
9.,Russia,"145,100,000",1.81%,1 Sep 2022,Official estimate[10],"Includes the Republic of Crimea and Sevastopol, administrative areas on the Crimean Peninsula occupied by Russia. The Ukrainian government and most of the world's other states consider the Crimean Peninsula part of Ukraine's territory."
10., Mexico,"128,533,664",1.61%,30 Jun 2022,National quarterly estimate[11],-
11.,Japan,"125,104,000",1.56%,1 Jun 2022,Monthly estimate[12],-
12.,Philippines,"112,869,745",1.41%,26 Dec 2022,National population clock[13],-
13.,Ethiopia,"105,163,988",1.31%,1 Jul 2022,National annual projection[14],-
14.,Egypt,"104,243,583",1.30%,26 Dec 2022,National population clock[15],-
15., DR Congo,"99,010,000",1.24%,1 Jul 2022,UN projection[3],-
16.,Vietnam,"98,506,193",1.23%,1 Jul 2021,Official estimate[16],-
17.,Iran,"86,053,807",1.08%,26 Dec 2022,National population clock[17],-
18., Turkey,"84,680,273",1.06%,31 Dec 2021,Official estimate[18],-
19., Germany,"84,270,625",1.05%,30 Sep 2022,National quarterly estimate[19],-
20.,France,"67,975,000",0.850%,1 Nov 2022,Monthly national estimate[20],"Includes the integral 18 regions of France (including 5 overseas departments and regions). Does not include France's 5 overseas collectivities: French Polynesia, Saint Barthélemy, Saint Martin, Saint Pierre and Miquelon, and Wallis and Futuna, and the sui generis collectivity of New Caledonia, which are shown separately.[21]"
