region,year,gini,atk5,atk1,d9010,d9050,d8020,poorAll4,poorAll5,poorAll6,poorK4,poorK5,poorK6,poorE4,poorE5,poorE6,d5075,d75150,d150,poortp,poorsm,pkidsm,eymed,average
Australia,2018,0.329,0.094,0.183,4.282,1.971,2.619,6.198,12.574,20.129,6.841,13.049,20.077,8.199,25.607,43.772,20.475,50.3,16.176,8.767,36.049,14.715,53085.342,62167.117
Australia,2016,0.326,0.091,0.179,4.248,2.018,2.672,5.589,12.441,19.854,6.307,12.406,19.865,5.513,25.915,42.233,22.046,47.793,17.755,8.802,32.607,13.211,50521.209,59412.352
Australia,2014,0.329,0.094,0.183,4.268,1.995,2.593,5.579,12.465,20.036,5.947,11.423,18.898,6.602,26.495,44.196,21.745,49.632,17.2,7.815,29.926,14.214,49800.705,58480.935
Australia,2010,0.333,0.094,0.186,4.529,2.037,2.779,6.081,14.059,21.259,7.121,14.42,22.381,7.94,33.628,50.175,21.483,48.603,15.494,9.564,37.517,16.326,41951.257,49520.418
Australia,2008,0.335,0.096,0.186,4.501,1.992,2.7,7.06,14.235,21.2,5.946,12.845,21.541,17.192,37.151,51.537,22.028,50.296,14.832,7.922,36.909,15.731,40316.602,47253.08
Australia,2004,0.316,0.084,0.169,4.162,1.946,2.666,5.222,13.302,21.116,5.026,12.109,19.884,6.78,28.863,48.339,21.319,52.057,14.515,6.92,35.635,16.171,28860.14,32953.112
Australia,2003,0.316,0.085,0.179,4.286,1.985,2.734,5.795,12.504,20.578,6.939,13.887,21.948,5.994,22.531,44.587,22.656,49.659,13.799,9.228,34.443,15.906,25481.118,29303.787
Australia,2001,0.32,0.087,0.18,4.287,1.985,2.753,5.893,13.175,21.762,6.761,14.865,22.974,4.945,22.672,46.259,21.671,49.204,14.26,9.844,35.158,17.754,23815.022,27190.728
Australia,1995,0.311,0.083,0.175,4.079,1.942,2.713,5.131,11.57,20.698,6.669,13.196,22.283,4.634,21.799,43.427,23.451,50.136,13.216,9.839,33.945,13.177,18463.662,21010.167
Australia,1989,0.304,0.078,0.158,4.166,1.932,2.591,6.215,12.317,19.074,9.345,15.056,21.049,5.87,24.348,46.126,21.136,51.682,12.126,9.286,55.076,11.712,16561.535,18761.391
Australia,1985,0.293,0.072,0.15,3.972,1.869,2.547,5.439,11.914,19.785,7.902,13.953,20.613,3.994,24.647,49.116,19.943,55.438,10.666,9.348,61.614,8.419,12023.297,13328.234
Australia,1981,0.282,0.067,0.141,3.939,1.862,2.478,5.296,11.408,18.38,,,,,,,,,,,,,8873.881,9795.617
Austria,2019,0.274,0.065,0.133,3.601,1.803,2.165,4.912,9.981,15.37,7.029,12.902,19.103,4.41,10.467,17.207,20.19,55.746,11.163,11.383,27.424,8.078,29570.148,32760.906
Austria,2018,0.28,0.07,0.14,3.426,1.788,2.149,4.677,9.011,14.285,5.397,8.948,16.09,4.412,9.936,16.392,22.59,58.551,9.912,7.337,20.633,9.646,28379.603,31864.302
Austria,2017,0.277,0.065,0.13,3.503,1.794,2.23,4.891,9.302,15.174,6.158,11.434,18.905,4.113,9.834,16.653,23.38,53.668,11.518,9.501,28.577,9.242,27937.395,31062.697
Austria,2016,0.285,0.072,0.147,3.534,1.788,2.235,5.926,9.637,14.994,7.588,11.693,17.892,3.912,8.664,15.594,23.513,53.855,10.94,9.872,26.031,11.731,27655.228,30853.444
Austria,2015,0.276,0.068,0.138,3.321,1.745,2.187,4.918,8.642,14.53,6.605,9.766,16.148,3.368,8.093,15.967,25.729,54.586,9.918,8.052,21.233,12.303,26262.23,29060.28
Austria,2014,0.275,0.066,0.129,3.379,1.745,2.16,4.276,9.002,14.439,5.056,10.802,17.358,3.447,9.23,16.647,24.869,55.648,8.682,8.601,24.644,12.606,26109.359,28948.569
Austria,2013,0.28,0.068,0.134,3.415,1.801,2.186,4.497,8.805,14.14,4.634,10.1,16.654,4.378,9.913,16.747,22.594,57.298,10.008,7.03,26.863,15.376,25643.011,29070.302
