Country,Religion,DELETE,,,
Afghanistan,Islam
Albania,Islam
Algeria,Islam
Andorra,Roman Catholicism
Angola,Roman Catholicism
Antigua and Barbuda,Christianity
Argentina,Roman Catholicism
Armenia,Armenian Apostolic Church
Australia,Christianity,Roman Catholicism and Anglicanism)
Austria,Roman Catholicism
Azerbaijan,Islam
Bahamas,Christianity
Bahrain,Islam
Bangladesh,Islam
Barbados,Christianity
Belarus,Eastern Orthodoxy
Belgium,Roman Catholicism
Belize,Christianity
Benin,Islam
Bhutan,Vajrayana Buddhism
Bolivia,Roman Catholicism
Bosnia and Herzegovina,Islam
Botswana,Christianity
Brazil,Roman Catholicism
Brunei,Islam
Bulgaria,Eastern Orthodoxy
Burkina Faso,Islam
Burundi,Roman Catholicism
Cabo Verde,Roman Catholicism
Cambodia,Theravada Buddhism
Cameroon,Christianity,Roman Catholicism and Protestantism)
Canada,Christianity,Roman Catholicism and Protestantism)
Central African Republic,Christianity,Roman Catholicism and Protestantism)
Chad,Islam
Chile,Roman Catholicism
China,Non-religious,although there are significant populations of Buddhists,Taoists,and Christians)
Colombia,Roman Catholicism
Comoros,Islam
Congo,Democratic Republic of the,Christianity,Roman Catholicism and Protestantism)
Congo,Republic of the,Christianity,Roman Catholicism and Protestantism)
Costa Rica,Roman Catholicism
Cote d'Ivoire,Islam
Croatia,Roman Catholicism
Cuba,Roman Catholicism
Cyprus,Eastern Orthodoxy
Czech Republic,No religion,although Roman Catholicism and Protestantism are the largest minority religions)
Denmark,Evangelical Lutheran Church
Djibouti,Islam
Dominica,Christianity
Dominican Republic,Roman Catholicism
East Timor,Roman Catholicism
Ecuador,Roman Catholicism
Egypt,Islam
El Salvador,Roman Catholicism
Equatorial Guinea,Roman Catholicism
Eritrea,Orthodox Tewahedo Church
Estonia,Evangelical Lutheran Church
Eswatini,Christianity,Zionist and Roman Catholicism)
Ethiopia,Orthodox Tewahedo Church
Fiji,Christianity,Methodism and Roman Catholicism)
Finland,Evangelical Lutheran Church
France,Roman Catholicism
Gabon,Christianity,Roman Catholicism and Protestantism)
Gambia,The,Islam
Georgia,Georgian Orthodox Church
Germany,Christianity,Roman Catholicism and Protestantism)
Ghana,Christianity,Protestantism and Roman Catholicism)
Greece,Eastern Orthodoxy
Grenada,Christianity
Guatemala,Roman Catholicism
Guinea,Islam
Guinea-Bissau,Islam
Guyana,Christianity,Anglicanism and Roman Catholicism)
Haiti,Roman Catholicism
Honduras,Roman Catholicism
Hungary,Roman Catholicism
Iceland,Evangelical Lutheran Church
India,Hinduism
Indonesia,Islam
Iran,Islam
Iraq,Islam
Ireland,Roman Catholicism
Israel,Judaism
Italy,Roman Catholicism
Jamaica,Christianity,Protestantism and Roman Catholicism)
Japan,Shintoism and Buddhism
Jordan,Islam
Kazakhstan,Islam
Kenya,Christianity,Protestantism and Roman Catholicism)
Kiribati,Christianity,Roman Catholicism and Protestantism)
Kosovo,Islam
Kuwait,Islam
Kyrgyzstan,Islam
Laos,Theravada Buddhism
Latvia,Evangelical Lutheran Church
Lebanon,Islam
Lesotho,Christianity,Roman Catholicism and Protestantism)
Liberia,Christianity,Protestantism and Roman Catholicism)
Libya,Islam
Liechtenstein,Roman Catholicism
Lithuania,Roman Catholicism
Luxembourg,Roman Catholicism
Madagascar,Christianity,Roman Catholicism and Protestantism)
Malawi,Christianity,Protestantism and Roman Catholicism)
Malaysia,Islam
Maldives,Islam
Mali,Islam
Malta,Roman Catholicism
Marshall Islands,Christianity,United Church of Christ and Roman Catholicism)
Mauritania,Islam
Mauritius,Hinduism
Mexico,Roman Catholicism
Micronesia,Federated States of,Christianity,Roman Catholicism and Protestantism)
Moldova,Eastern Orthodoxy
Monaco,Roman Catholicism
Mongolia,Buddhism
Montenegro,Eastern Orthodoxy
Morocco,Islam
Mozambique,Christianity,Roman Catholicism and Protestantism)
Myanmar,Burma),Theravada Buddhism
Namibia,Christianity,Protestantism and Roman Catholicism)
Nauru,Christianity,Roman Catholicism and Protestantism)
Nepal,Hinduism
Netherlands,Roman Catholicism and Protestantism
New Zealand,Christianity,Anglicanism and Roman Catholicism)
Nicaragua,Roman Catholicism
Niger,Islam
Nigeria,Islam and Christianity,Protestantism and Roman Catholicism)
North Korea,Atheism,although officially recognized religions are Buddhism,Confucianism,and Shamanism)
North Macedonia,Eastern Orthodoxy
Norway,Evangelical Lutheran Church
Oman,Islam
Pakistan,Islam
Palau,Roman Catholicism
Panama,Roman Catholicism
Papua New Guinea,Christianity,Roman Catholicism and Protestantism)
Paraguay,Roman Catholicism
Peru,Roman Catholicism
Philippines,Roman Catholicism
Poland,Roman Catholicism
Portugal,Roman Catholicism
Qatar,Islam
Romania,Eastern Orthodoxy
Russia,Russian Orthodox Church
Rwanda,Roman Catholicism and Protestantism
Saint Kitts and Nevis,Christianity,Protestantism and Roman Catholicism)
Saint Lucia,Christianity,Roman Catholicism and Protestantism)
Saint Vincent and the Grenadines,Christianity,Anglicanism and Roman Catholicism)
Samoa,Christianity,Congregationalism and Roman Catholicism)
San Marino,Roman Catholicism
Sao Tome and Principe,Christianity,Roman Catholicism and Protestantism)
Saudi Arabia,Islam
Senegal,Islam
Serbia,Eastern Orthodoxy
Seychelles,Roman Catholicism
Sierra Leone,Islam and Christianity,Protestantism and Roman Catholicism)
Singapore,Buddhism and Taoism
Slovakia,Roman Catholicism
Slovenia,Roman Catholicism
Solomon Islands,Christianity,Anglicanism and Roman Catholicism)
Somalia,Islam
South Africa,Christianity,Protestantism and Roman Catholicism)
South Korea,Buddhism and Christianity,Protestantism and Roman Catholicism)
South Sudan,Christianity,Anglicanism and Roman Catholicism)
Spain,Roman Catholicism
Sri Lanka,Theravada Buddhism and Hinduism
Sudan,Islam
Suriname,Christianity,Protestantism and Roman Catholicism)
Sweden,Church of Sweden,Lutheran)
Switzerland,Roman Catholicism and Protestantism
Syria,Islam
Taiwan,Buddhism and Taoism
Tajikistan,Islam
Tanzania,Christianity,Protestantism and Roman Catholicism)
Thailand,Theravada Buddhism
Timor-Leste,East Timor),Roman Catholicism
Togo,Christianity,Protestantism and Roman Catholicism)
Tonga,Christianity,Free Wesleyan Church and Roman Catholicism)
Trinidad and Tobago,Christianity,Roman Catholicism and Protestantism)
Tunisia,Islam
Turkey,Islam
Turkmenistan,Islam
Tuvalu,Christianity,Church of Tuvalu and Roman Catholicism)
Uganda,Christianity,Roman Catholicism and Protestantism)
Ukraine,Eastern Orthodoxy
United Arab Emirates,Islam
United Kingdom,Christianity,Anglicanism and Roman Catholicism)
United States of America,Christianity,Protestantism and Roman Catholicism)
Uruguay,Roman Catholicism
Uzbekistan,Islam
Vanuatu,Christianity,Presbyterianism and Roman Catholicism)
Vatican City,Holy See),Roman Catholicism
Venezuela,Roman Catholicism
Vietnam,Buddhism and folk religion
Yemen,Islam
Zambia,Christianity,Protestantism and Roman Catholicism)
Zimbabwe,Christianity,Protestantism and Roman Catholicism)
