Country,CSSSA LEGAL?,DATE OF DECRIM,MAX PENALTY,CONST.,BROAD PROT.,EMPLOY.,HATE CRIME,INCITEMENT,BAN CONV. THERAPIES,SAME SEX MARRIAGE,CIVIL UNIONS,JOINT ADOPTION,SECOND PARENT ADOPTION
Algeria,NO,-,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Angola,YES,2021,-,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO
Benin,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Botswana,YES,2019,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Burkina Faso,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Burundi,NO,-,2,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cameroon,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cabo Verde,YES,2004,-,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
Central Africa Republic,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Chad,NO,-,2,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Comoros,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Congo,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
C�te d'Ivoire,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
DRC,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Djibouti,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Egypt,DE FACTO,-,UNDETERM.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Equatorial Guinea,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Eritrea,NO,-,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Eswatini,NO,-,UNDETERM.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ethiopia,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Gabon,YES,2020,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Gambia,NO,-,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ghana,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Guinea,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Guinea-Bissau,YES,1993,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Kenya,NO,-,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lesotho,YES,2012,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Liberia,NO,-,1,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Libya,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Madagascar,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Malawi,NO,-,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mali,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mauritania,NO,-,DEATH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mauritius,NO,-,5,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO
Morocco,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mozambique,YES,2015,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Namibia,NO,-,UNDETERM.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Niger,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Nigeria,NO,-,VARIES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Rwanda,YES,NEVER CRIM,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sao Tome & Principe,YES,2012,-,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
Senegal,NO,-,5,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Seychelles,YES,2016,-,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Sierra Leone,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Somalia,NO,-,DEATH (P),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
South Africa,YES,1998,-,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES
South Sudan,NO,-,10,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sudan,NO,-,FOR LIFE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tanzania,NO,-,FOR LIFE,NO,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO
Togo,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tunisia,NO,-,3,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Uganda,NO,-,FOR LIFE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Zambia,NO,-,FOR LIFE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Zimbabwe,NO,-,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Antigua and Barbuda,NO,-,15,NO,NO,NO,LIMITED,NO,NO,NO,NO,NO,NO
Argentina,YES,1903,-,NO,LIMITED,LIMITED,YES,NO,LIMITED,YES,YES,YES,YES
Bahamas,YES,1991,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Barbados,NO,-,FOR LIFE,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Belize,YES,2016,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bolivia,YES,1832,-,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO
Brazil,YES,1831,-,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
Chile,YES,1999,-,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO
Colombia,YES,1981,-,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES
Costa Rica,YES,1971,-,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES
